*,,,,,,,,,,
*,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Dealer Price Sheet,,,,,,,,,,
*,PURCHASE ORDER,,,,,,,,,
Purchase Order #:,,,,,,,,,,
Order Date:,,,,,,,,,,
Requested Ship Date,,,,,,,,,,
Bill to Customer:,,,,,,,,,,
Buyers Name:,,,,,,,,,,
Street Address:,,,,,,,,,,
P.O. Box:,,,,Send Payments to:,,,,,,
"City, State, Zip:",,,,J Bro's Lures,,,,,,
Phone #:,,,,Larry W. Johnson,,,,,,
Fax #:,,,,5672 Glena St ,,,,,,
Terms:,,,,"Louisville, Ohio 44641",,,,,,
Discounts:,,,,Paying By Credit Card call or email,,,,,,
Freight:,,,,330-488-4026,,,,,,
Notes:,,,Order Total,larry@jbroslures.com,,35% Off Retail,,,,
Rep Name:,,,$0.00,,,0.00,,,,
,,,,,,,,,,
GS1 Company Prefix,GTIN,GTIN-12 (U.P.C.),Brand Name,Product Description,Qty,Cost,Total,,,
081011028,00810110280007,810110280007,J Bro's Lures,Trifinity 6 Inch Plastic Worm Black Quantity 8,0.00,$2.98,$0.00,,,
081011028,00810110280014,810110280014,J Bro's Lures,Trifinity 6 Inch Plastic Worm Black and Blue Quantity 8,0.00,$3.87,$0.00,,,
081011028,00810110280021,810110280021,J Bro's Lures,Trifinity 6 Inch Plastic Worm Green Pumpkin Quantity 8,0.00,$3.87,$0.00,,,
081011028,00810110280038,810110280038,J Bro's Lures,Trifinity 6 Inch Plastic Worm Green Pumpkin Orange Quantity 8,0.00,$4.49,$0.00,,,
081011028,00810110280045,810110280045,J Bro's Lures,Trifinity 6 Inch Plastic Worm June Bug Quantity 8,0.00,$3.87,$0.00,,,
081011028,00810110280052,810110280052,J Bro's Lures,Trifinity 6 Inch Plastic Worm Motor Oil Quantity 8,0.00,$3.87,$0.00,,,
081011028,00810110280069,810110280069,J Bro's Lures,Trifinity 6 Inch Plastic Worm Pumpkin Seed Quantity 8,0.00,$2.98,$0.00,,,
081011028,00810110280076,810110280076,J Bro's Lures,Trifinity 6 Inch Plastic Worm Red Bug Quantity 8,0.00,$3.87,$0.00,,,
081011028,00810110280083,810110280083,J Bro's Lures,Trifinity 6 Inch Plastic Worm Watermelon Red Quantity 8,0.00,$3.87,$0.00,,,
081011028,00810110280090,810110280090,J Bro's Lures,Trifinity 6 Inch Plastic Worm White Quantity 8,0.00,$3.87,$0.00,,,
081011028,00810110281271,810110281271,J Bro's Lures,Trifinity 6 Inch Plastic Worm Black Grape Quantity 8,0.00,$2.98,$0.00,,,
081011028,00810110281295,810110281295,J Bro's Lures,Trifinity 6 Inch Plastic Worm Cracked Pepper Quantity 8,0.00,$3.87,$0.00,,,
081011028,00810110281318,810110281318,J Bro's Lures,Trifinity 6 Inch Plastic Worm Green Pumpkin Purple Flake Quantity 8,0.00,$3.87,$0.00,,,
,,,,,,,,,,
,,,,,,,,,,
081011028,00810110281943,810110281943,J Bro's Lures,"BFW 10"" Trifinity Black with Blue Flake Qty 4",0.00,$4.48,$0.00,,,
